idagenda,iddepto,idlider,data,horario_inicial,horario_final,idlocal,ideventoig,idstatus,descricao,observacao,created_by,created_at,updated_at
01b5e5c9,9327fe0b,,2024-12-29,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
0274940e,f5a571ce,,2025-07-03,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
039041dd,9327fe0b,,2025-10-08,,,e9150cce,680a163d,,Culto de Quarta - Dando Destino,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
03acc0f0,33b4a9a3,6518e5e1,2025-08-26,20:00:00,22:00:00,e9150cce,172ae3c7,status001,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-26 05:23:29.923299+00
03d8d59d,9327fe0b,,2025-08-13,,,e9150cce,1fca0c25,,Culto de Quarta - Batismo com o Espírito Santo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
046190ab,9327fe0b,6385f28b,2025-09-06,19:00:00,21:00:00,e9150cce,0e89bb50,status001,Culto Elite,,,2025-08-15 23:32:55.079916+00,2025-08-26 05:25:08.961443+00
0476fd74,9327fe0b,,2025-03-01,,,e9150cce,ae1b6f9f,,Batismo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
06163cd1,9327fe0b,,2025-08-02,,,,e157a417,,Piquenique da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
065a8c13,9327fe0b,,2025-09-27,,,e9150cce,0e89bb50,,Culto Elite,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
06af46ec,9327fe0b,,2025-09-28,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
0a793247,e910cfb7,,2025-03-15,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
0ae0b8d3,e910cfb7,,2025-07-05,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
0b7481ec,11b5578a,,2025-02-19,,,e9150cce,e6ea5cf5,,Culto das Mulheres,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
0ca3f5f0,9327fe0b,,2025-11-02,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
0d03bc40,9327fe0b,,2025-10-22,,,e9150cce,680a163d,,Culto de Quarta - Dando Destino,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
0ec722dc,9327fe0b,,2025-01-10,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
10a98777,9327fe0b,,2025-11-01,,,e9150cce,5bb57938,,Conferência Dando Destino,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
10edd113,ad72a13c,,2025-02-16,,,,ae1b6f9f,,Batismo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
12478636,e910cfb7,,2025-12-20,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
1295f796,9327fe0b,,2025-05-28,,,e9150cce,24c63695,,Culto de Quarta - Casais,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
12a83b36,9327fe0b,,2025-07-06,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
13224a83,e910cfb7,,2025-08-16,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
15a50281,9327fe0b,,2025-11-05,,,e9150cce,1317e71b,,Culto de Quarta - Imersão de Adoração,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
15b646d5,9327fe0b,,2024-12-01,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
163b72bd,f5a571ce,,2025-09-04,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
17d55301,9327fe0b,,2025-03-09,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
17e9bca4,9327fe0b,,2025-03-16,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
1834cabd,ad72a13c,,2025-02-09,,,,ae1b6f9f,,Batismo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
1852f2d1,9327fe0b,,2025-05-04,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
19488362,9327fe0b,,2025-02-09,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
