idavaliacao,idmembro,criado_em,atualizado_em,status
07fac53c-ab1c-4b61-a7e7-b9beb73f6192,mem00014,2025-10-08 00:45:42.809845+00,2025-10-08 00:45:42.809845+00,em_andamento
09cff44c-3504-4b45-ba40-274518076856,1b2359ad,2025-10-04 19:22:06.347491+00,2025-10-04 19:23:47.054988+00,concluida
0cb43705-d77b-443a-8189-a73bee789252,4b152a87,2025-10-05 01:32:23.261329+00,2025-10-09 01:32:53.79843+00,concluida
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,mem00009,2025-10-06 00:24:56.208008+00,2025-10-06 00:43:29.450909+00,concluida
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,MEM000539,2025-10-05 00:28:55.700058+00,2025-10-05 00:42:09.577322+00,concluida
1e6c4ff0-178b-42e7-bdc0-387148374aa6,mem00045,2025-10-08 03:23:57.918027+00,2025-10-08 03:33:05.139217+00,concluida
1e9bf096-561f-4f60-af81-085993f41c39,mem00011,2025-10-04 23:05:48.108884+00,2025-10-05 22:41:04.541268+00,concluida
1fb25380-65c7-4430-97bb-7da1c54d2fbc,e6d55cd2,2025-10-05 00:41:09.776282+00,2025-10-05 00:51:03.946966+00,concluida
2083e31a-c6c3-47f6-bff9-44d875487c3e,65ed9769,2025-10-05 00:24:16.160374+00,2025-10-05 11:09:28.927376+00,concluida
27b2380c-9af9-47a7-bfbc-f912e559f826,mem00019,2025-10-14 22:20:22.199994+00,2025-10-14 23:50:35.06703+00,concluida
39a8f292-4620-4b7e-a952-fe733cfbe104,79db7e70,2025-10-05 01:53:51.280322+00,2025-10-05 12:30:05.082248+00,concluida
41c2c3d9-0b7a-464c-9d25-c920ae84d33f,MEM000538,2025-10-05 01:29:49.049389+00,2025-10-05 01:42:07.302599+00,concluida
42187c6f-8c30-42da-aead-604d7c040b97,defcb084,2025-10-16 18:39:13.113137+00,2025-10-16 18:39:13.113137+00,em_andamento
428b55c5-cd66-43d8-8e2b-fe37e4d94544,f5574509,2025-10-05 00:30:18.018539+00,2025-10-05 01:51:17.664835+00,concluida
4300f9d9-993b-4063-b49d-b51cd9720401,ccd4e228,2025-10-05 22:42:14.325653+00,2025-10-05 23:15:13.26224+00,concluida
4627ccbe-021d-41d5-add5-8a671fb7a566,1b2359ad,2025-10-04 19:11:59.05695+00,2025-10-04 19:19:05.2871+00,concluida
4d450a19-4402-48f2-823a-268ffa3d83e9,mem00027,2025-10-05 00:21:23.46531+00,2025-10-05 12:19:56.982673+00,concluida
4db40e91-4696-4a0f-b1e9-dba9ac6ff9ea,bfadba9c,2025-10-04 23:06:28.416615+00,2025-10-05 02:19:51.222443+00,concluida
55de2a1d-ed19-4d3c-899a-3dd5ec19d83f,c10143a8,2025-10-05 16:24:35.167454+00,2025-10-05 16:24:35.167454+00,em_andamento
57d08dd2-d626-497e-aed0-571da98b8bc7,mem00035,2025-10-05 02:10:21.247071+00,2025-10-05 02:10:21.247071+00,em_andamento
6407ee8a-9526-46df-983d-9c7a23aa3f4c,af643241,2025-10-05 01:07:40.03917+00,2025-10-05 01:07:40.03917+00,em_andamento
674ff8fa-0d07-4f3d-8931-1c2085607790,mem00036,2025-10-05 00:27:30.070378+00,2025-10-05 00:27:30.070378+00,em_andamento
685139f5-09bc-4e4b-b69e-df5309e5be57,40c95681,2025-10-16 18:44:52.270559+00,2025-10-16 19:03:43.524668+00,concluida
75f1e308-a6d6-42e8-ab80-778d0e766d6c,mem00008,2025-10-04 20:23:12.984606+00,2025-10-04 20:37:26.257393+00,concluida
76de2f8e-8ec1-46d6-9081-2ba06d758a79,mem00040,2025-10-04 18:48:59.170357+00,2025-10-08 13:02:34.988333+00,concluida
7b86741b-229d-41e7-80d2-3532750ee5c0,3d936788,2025-10-08 15:52:30.683431+00,2025-10-08 15:52:30.683431+00,em_andamento
7d286695-d0f4-4491-91dc-8f54dbeae090,MEM000540,2025-10-05 00:34:33.623559+00,2025-10-05 00:34:33.623559+00,em_andamento
83d0bcd4-a28a-428f-8285-cdbf58ed07e3,530657f3,2025-10-05 00:28:40.372137+00,2025-10-06 12:11:48.379878+00,concluida
89265e7b-d508-4a10-a1f0-42443b1da52b,1b2359ad,2025-10-04 19:27:10.961864+00,2025-10-04 19:27:10.961864+00,em_andamento
925b9442-b2ce-47bc-b922-bcadef799484,mem00002,2025-10-05 01:17:06.173239+00,2025-10-05 01:17:06.173239+00,em_andamento
956bbabc-37cc-4ace-8a7e-2ce07cf3c515,baef02a4,2025-10-04 19:16:52.806837+00,2025-10-04 19:16:52.806837+00,em_andamento
9666b26c-7b3f-4a7b-8492-16415fc046a4,mem00001,2025-10-04 23:26:34.229411+00,2025-10-08 14:46:48.430416+00,concluida
