idavaliacao,idfrase,valor
07fac53c-ab1c-4b61-a7e7-b9beb73f6192,01890485-2713-4bd8-892d-46793b1bca27,1
07fac53c-ab1c-4b61-a7e7-b9beb73f6192,3f83db3f-2748-4bae-bc85-5013a12d746e,1
09cff44c-3504-4b45-ba40-274518076856,01890485-2713-4bd8-892d-46793b1bca27,3
09cff44c-3504-4b45-ba40-274518076856,094399eb-fd51-4d10-898e-e14f2b68cf38,3
09cff44c-3504-4b45-ba40-274518076856,0a7fd7e3-6c2f-4280-917b-5462f48f81c0,1
09cff44c-3504-4b45-ba40-274518076856,0aa77e93-326e-4e35-83e6-22d58a2419fd,2
09cff44c-3504-4b45-ba40-274518076856,0d9b19d1-ce7e-4cf3-b80d-7cf421600bed,1
09cff44c-3504-4b45-ba40-274518076856,144b8f8d-0b72-438b-821a-795837ef8fad,1
09cff44c-3504-4b45-ba40-274518076856,1f5af8d7-4476-4eb1-9016-e83356fa6374,3
09cff44c-3504-4b45-ba40-274518076856,2386cd85-1f80-40bf-a440-ba5ef2dfa19d,3
09cff44c-3504-4b45-ba40-274518076856,24e269be-4049-45df-811f-67666cb986bc,1
09cff44c-3504-4b45-ba40-274518076856,2835ed85-fa74-4950-8c8b-d648467630fc,3
09cff44c-3504-4b45-ba40-274518076856,341fb2d9-1e39-474b-84e7-b7343aa24a34,0
09cff44c-3504-4b45-ba40-274518076856,3e58e2ea-edee-4354-bb2e-f90461d874d1,2
09cff44c-3504-4b45-ba40-274518076856,3f83db3f-2748-4bae-bc85-5013a12d746e,1
09cff44c-3504-4b45-ba40-274518076856,4139d57c-5d98-4dec-8914-7757f7986bfb,2
09cff44c-3504-4b45-ba40-274518076856,42e8ae36-89aa-4e84-983e-571a0b695af8,1
09cff44c-3504-4b45-ba40-274518076856,54d9123c-365e-4a9a-b7c5-041e2041b8e8,1
09cff44c-3504-4b45-ba40-274518076856,5867e180-9785-471c-b188-066523c7a9c6,1
09cff44c-3504-4b45-ba40-274518076856,592ac40b-4132-4f51-950c-5fd4350e9b53,0
09cff44c-3504-4b45-ba40-274518076856,698822fe-9bd3-4503-a133-b8add18dd732,2
09cff44c-3504-4b45-ba40-274518076856,714f4085-2ccf-4a1a-997c-f0a789c3eb37,1
09cff44c-3504-4b45-ba40-274518076856,77db9dcd-41c7-4a1b-8ae8-728b5be5a095,1
09cff44c-3504-4b45-ba40-274518076856,7efb264a-25dd-460a-bfae-c8a6f87ba9f7,1
09cff44c-3504-4b45-ba40-274518076856,84efadb3-4340-49c8-9e01-2059873e207c,2
09cff44c-3504-4b45-ba40-274518076856,870cd564-9c4a-4843-8b1c-3bfd113e25bf,2
09cff44c-3504-4b45-ba40-274518076856,88553634-9f30-47d7-84d9-769324235e09,1
09cff44c-3504-4b45-ba40-274518076856,8a823e38-d132-4185-9042-19a479ba2f9e,1
09cff44c-3504-4b45-ba40-274518076856,8cfdf231-27c6-4a5e-81c9-18636b887cfc,2
09cff44c-3504-4b45-ba40-274518076856,8efd5c46-e757-40a2-b186-3cb6ecdfc633,2
09cff44c-3504-4b45-ba40-274518076856,930f9c6f-7896-46e1-86ed-b6b11296dfb8,0
09cff44c-3504-4b45-ba40-274518076856,a580b045-2783-4cfa-bab6-08d23c757a90,1
09cff44c-3504-4b45-ba40-274518076856,a91f762d-7198-4e0e-8eca-a63854433339,0
09cff44c-3504-4b45-ba40-274518076856,a9a24579-904f-40be-9347-f7309ca2a897,1
09cff44c-3504-4b45-ba40-274518076856,ae0ac19b-f46f-4c13-aa96-36a540ed9c82,1
09cff44c-3504-4b45-ba40-274518076856,b5e14fff-36ab-44b7-afed-cd4656c51ea1,1
09cff44c-3504-4b45-ba40-274518076856,beca0a12-87a2-4318-9833-6ab40fc426f2,1
09cff44c-3504-4b45-ba40-274518076856,c07df549-3624-4f55-9927-eb212ddd5673,1
09cff44c-3504-4b45-ba40-274518076856,c19533e3-94a3-45ef-9b38-d6d9dc48a30c,1
09cff44c-3504-4b45-ba40-274518076856,cd0c0159-1217-48be-a34d-59ccda5ce1a5,1
09cff44c-3504-4b45-ba40-274518076856,d9425451-5897-4baa-9880-d3f707eff195,3
09cff44c-3504-4b45-ba40-274518076856,db72a39d-1e47-4708-a265-3f54a824368f,0
09cff44c-3504-4b45-ba40-274518076856,db834a42-95f1-422b-8ee4-54adc1aacff8,3
09cff44c-3504-4b45-ba40-274518076856,e08509d5-ab33-4515-8859-c1e5c80195ee,1
09cff44c-3504-4b45-ba40-274518076856,f480c751-70e7-43c1-a2be-5e41392a08ec,2
09cff44c-3504-4b45-ba40-274518076856,f6ad0303-a064-4aad-a73e-b17451e86f66,3
09cff44c-3504-4b45-ba40-274518076856,fc2aa68d-6d5e-4cfc-84f2-49e9aef8691b,3
0cb43705-d77b-443a-8189-a73bee789252,01890485-2713-4bd8-892d-46793b1bca27,2
0cb43705-d77b-443a-8189-a73bee789252,094399eb-fd51-4d10-898e-e14f2b68cf38,1
0cb43705-d77b-443a-8189-a73bee789252,0a7fd7e3-6c2f-4280-917b-5462f48f81c0,0
0cb43705-d77b-443a-8189-a73bee789252,0aa77e93-326e-4e35-83e6-22d58a2419fd,3
0cb43705-d77b-443a-8189-a73bee789252,0d9b19d1-ce7e-4cf3-b80d-7cf421600bed,0
0cb43705-d77b-443a-8189-a73bee789252,144b8f8d-0b72-438b-821a-795837ef8fad,1
0cb43705-d77b-443a-8189-a73bee789252,1f5af8d7-4476-4eb1-9016-e83356fa6374,1
0cb43705-d77b-443a-8189-a73bee789252,2386cd85-1f80-40bf-a440-ba5ef2dfa19d,1
0cb43705-d77b-443a-8189-a73bee789252,24e269be-4049-45df-811f-67666cb986bc,1
0cb43705-d77b-443a-8189-a73bee789252,2835ed85-fa74-4950-8c8b-d648467630fc,3
0cb43705-d77b-443a-8189-a73bee789252,341fb2d9-1e39-474b-84e7-b7343aa24a34,0
0cb43705-d77b-443a-8189-a73bee789252,3e58e2ea-edee-4354-bb2e-f90461d874d1,0
0cb43705-d77b-443a-8189-a73bee789252,3f83db3f-2748-4bae-bc85-5013a12d746e,3
0cb43705-d77b-443a-8189-a73bee789252,4139d57c-5d98-4dec-8914-7757f7986bfb,3
0cb43705-d77b-443a-8189-a73bee789252,42e8ae36-89aa-4e84-983e-571a0b695af8,0
0cb43705-d77b-443a-8189-a73bee789252,54d9123c-365e-4a9a-b7c5-041e2041b8e8,2
0cb43705-d77b-443a-8189-a73bee789252,5867e180-9785-471c-b188-066523c7a9c6,3
0cb43705-d77b-443a-8189-a73bee789252,592ac40b-4132-4f51-950c-5fd4350e9b53,1
0cb43705-d77b-443a-8189-a73bee789252,698822fe-9bd3-4503-a133-b8add18dd732,2
0cb43705-d77b-443a-8189-a73bee789252,714f4085-2ccf-4a1a-997c-f0a789c3eb37,1
0cb43705-d77b-443a-8189-a73bee789252,77db9dcd-41c7-4a1b-8ae8-728b5be5a095,1
0cb43705-d77b-443a-8189-a73bee789252,7efb264a-25dd-460a-bfae-c8a6f87ba9f7,0
0cb43705-d77b-443a-8189-a73bee789252,84efadb3-4340-49c8-9e01-2059873e207c,2
0cb43705-d77b-443a-8189-a73bee789252,870cd564-9c4a-4843-8b1c-3bfd113e25bf,3
0cb43705-d77b-443a-8189-a73bee789252,88553634-9f30-47d7-84d9-769324235e09,3
0cb43705-d77b-443a-8189-a73bee789252,8a823e38-d132-4185-9042-19a479ba2f9e,0
0cb43705-d77b-443a-8189-a73bee789252,8cfdf231-27c6-4a5e-81c9-18636b887cfc,1
0cb43705-d77b-443a-8189-a73bee789252,8efd5c46-e757-40a2-b186-3cb6ecdfc633,3
0cb43705-d77b-443a-8189-a73bee789252,930f9c6f-7896-46e1-86ed-b6b11296dfb8,1
0cb43705-d77b-443a-8189-a73bee789252,a580b045-2783-4cfa-bab6-08d23c757a90,2
0cb43705-d77b-443a-8189-a73bee789252,a91f762d-7198-4e0e-8eca-a63854433339,3
0cb43705-d77b-443a-8189-a73bee789252,a9a24579-904f-40be-9347-f7309ca2a897,3
0cb43705-d77b-443a-8189-a73bee789252,ae0ac19b-f46f-4c13-aa96-36a540ed9c82,2
