idavaliacao,iddom,pontuacao
09cff44c-3504-4b45-ba40-274518076856,dom_contribuicao,7
09cff44c-3504-4b45-ba40-274518076856,dom_ensino,6
09cff44c-3504-4b45-ba40-274518076856,dom_evangelista,6
09cff44c-3504-4b45-ba40-274518076856,dom_exortacao,7
09cff44c-3504-4b45-ba40-274518076856,dom_governo,8
09cff44c-3504-4b45-ba40-274518076856,dom_misericordia,8
09cff44c-3504-4b45-ba40-274518076856,dom_pastor,7
09cff44c-3504-4b45-ba40-274518076856,dom_profecia,7
09cff44c-3504-4b45-ba40-274518076856,dom_servico,11
0cb43705-d77b-443a-8189-a73bee789252,dom_contribuicao,8
0cb43705-d77b-443a-8189-a73bee789252,dom_ensino,5
0cb43705-d77b-443a-8189-a73bee789252,dom_evangelista,10
0cb43705-d77b-443a-8189-a73bee789252,dom_exortacao,4
0cb43705-d77b-443a-8189-a73bee789252,dom_governo,10
0cb43705-d77b-443a-8189-a73bee789252,dom_misericordia,10
0cb43705-d77b-443a-8189-a73bee789252,dom_pastor,3
0cb43705-d77b-443a-8189-a73bee789252,dom_profecia,7
0cb43705-d77b-443a-8189-a73bee789252,dom_servico,14
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_contribuicao,7
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_ensino,5
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_evangelista,6
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_exortacao,10
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_governo,9
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_misericordia,6
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_pastor,9
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_profecia,8
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_servico,8
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,dom_contribuicao,5
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,dom_ensino,8
