ideventoig,evento
0d912219,Imersão Águas Profundas
0e89bb50,Culto Elite
1317e71b,Culto de Quarta - Imersão de Adoração
172ae3c7,Ensaio Louvor
18b6eadd,Oásis
1ec35112,Culto Drops Teens
1f5005d7,Culto dos Homens
1fca0c25,Culto de Quarta - Batismo com o Espírito Santo
232b12c4,12 Dias de Jejum
23e21b47,Ensaio Dança
24c63695,Culto de Quarta - Casais
2c69d0a4,Dia das Crianças
36a2cb58,Abrigo Dona Norma
3bdbd021,Culto da Família
5103750e,Aniversário Sede - Ap de Gyn
53d98f68,Evangelismo de Rua
53f1bfc8,Culto de Quarta - Família no Altar
5ace9da0,Consagração Crianças
5bb57938,Conferência Dando Destino
66792a7d,Culto Drops
680a163d,Culto de Quarta - Dando Destino
77f4248d,Culto da Virada
85f587e7,Quinta Profética
ae1b6f9f,Batismo
ae58e697,Reunião de Departamento
b9c642aa,Culto de Quarta - Evangelismo
c6fb330e,Santa Ceia
cea4ab02,Culto de Quarta - Criação de Filhos
e157a417,Piquenique da Família
e6ea5cf5,Culto das Mulheres
