idlider,idmembro,iddepto,idarea,idposicao,status
017d49db,mem00022,05c5c55d,b9527cad,5ca084b1,Ativo
02d75c41,mem00029,c3245218,c344da41,7476ffb8,Ativo
039d3511,3878419b,6444ed94,b9527cad,5ca084b1,Ativo
07c797de,mem00003,c3245218,824861de,5ca084b1,Ativo
094af2f9,mem00021,114da0e3,b9527cad,5ca084b1,Inativo
0affa66d,mem00009,e91c4307,b9527cad,5ca084b1,Ativo
0cefc6b1,baba5fe5,6444ed94,b9527cad,5ca084b1,Inativo
0da72af4,0283d644,cafb25b8,ad24c9fe,c3ee84db,Ativo
106e90e7,mem00002,c3245218,890a0b1e,5ca084b1,Ativo
10b4c294,mem00006,c3245218,824861de,f8dfb1bd,Inativo
10c9f762,mem00009,9478433e,b9527cad,,Ativo
1130e90d,mem00013,33b4a9a3,4ebd3162,5ca084b1,Ativo
117ee05d,bf886bf5,c3245218,890a0b1e,c3ee84db,Ativo
1533f457,mem00017,c3245218,0fd2a7a5,7476ffb8,Ativo
1656ae37,mem00001,114da0e3,b9527cad,5ca084b1,Ativo
16ae3bc4,3f544d96,c3245218,c344da41,c3ee84db,Ativo
16db377f,mem00006,114da0e3,b9527cad,5ca084b1,Ativo
17c5c58a,0be7b350,f5a571ce,45bad66e,5ca084b1,Ativo
1a25b7b3,mem00016,114da0e3,b9527cad,5ca084b1,Ativo
1d9b324c,e406450d,c3245218,824861de,5ca084b1,Ativo
1ffad13f,mem00025,c3245218,c344da41,5ca084b1,Ativo
2075f100,mem00043,33b4a9a3,4ebd3162,5ca084b1,Ativo
21902a50,mem00018,c3245218,88905ece,5ca084b1,Ativo
225c7303,mem00040,9327fe0b,2cc43e6b,61b957f1,Ativo
22ef2261,mem00017,c3245218,5aee6443,7476ffb8,Ativo
268edd1f,88d86d1a,c3245218,0fd2a7a5,c3ee84db,Ativo
274e846b,mem00011,cafb25b8,b9527cad,61b957f1,Ativo
28179512,mem00019,c3245218,890a0b1e,5ca084b1,Ativo
2857d272,e0ffcfd8,c3245218,890a0b1e,c3ee84db,Ativo
2eb46113,mem00005,ad72a13c,b9527cad,5ca084b1,Ativo
31571808,mem00005,e175ef41,b9527cad,5ca084b1,Ativo
3340e0d3,mem00004,c3245218,0fd2a7a5,5ca084b1,Ativo
3460f795,mem00009,114da0e3,b9527cad,5ca084b1,Ativo
34d463d2,f563f392,6444ed94,b9527cad,5ca084b1,Ativo
35d7eb4b,11cbd281,c3245218,c344da41,c3ee84db,Ativo
35e2d268,mem00004,cafb25b8,ad24c9fe,c3ee84db,Ativo
35e82a37,c10143a8,cafb25b8,ad24c9fe,c3ee84db,Ativo
37722098,mem00035,c3245218,c344da41,5ca084b1,Ativo
394778fe,mem00024,c3245218,0fd2a7a5,5ca084b1,Ativo
3bf1838d,dc3e0a6f,c3245218,5aee6443,5ca084b1,Ativo
3c2527d7,baba5fe5,05c5c55d,b9527cad,5ca084b1,Inativo
3c98614c,mem00035,c3245218,0fd2a7a5,5ca084b1,Inativo
3d79e6be,mem00045,33b4a9a3,b7346492,5ca084b1,Ativo
40314b9a,mem00004,c3245218,c344da41,5ca084b1,Ativo
4295c23a,mem00016,e91c4307,b9527cad,61b957f1,Ativo
