id,membro_id,parente_id,tipo_relacionamento,created_at,updated_at
00e43df2-f802-4161-9fa2-6830964ec7a9,MEM000048,829999c2,filha,2025-09-04 14:49:38.313429+00,2025-09-04 14:49:38.313429+00
02b06e6a-7256-4b4d-9c00-9b40b22749a6,MEM000048,18d13212,conjuge,2025-09-04 14:49:09.62323+00,2025-09-04 14:49:09.62323+00
02e2b851-1da3-4475-a709-9e46befbb87e,mem00031,MEM000529,filho,2025-09-04 15:04:33.385592+00,2025-09-04 15:04:33.385592+00
05fab944-748a-485c-b963-91bb91e05b95,084ec4db,62a2eb87,mae,2025-09-01 14:54:09.261931+00,2025-09-01 14:54:09.261931+00
0e64d778-050c-49f1-82cf-2f9e80319354,6be35098,d1e3669e,mae,2025-09-01 14:49:53.704827+00,2025-09-01 14:49:53.704827+00
135d25b0-3a90-400d-8883-145efa36d770,mem00030,mem00005,conjuge,2025-10-08 16:31:01.36183+00,2025-10-08 16:31:01.36183+00
14d57cca-a560-4434-9741-b2a76f9d9b31,e369e1e0,d2020b13,pai,2025-09-01 14:47:14.377539+00,2025-09-01 14:47:14.377539+00
1a6910e4-c0c4-4e2d-b283-1a610f9818e9,f20531ae,8d0de886,irmao,2025-09-12 11:45:22.545414+00,2025-09-12 11:45:22.545414+00
1c035d3c-3e08-4bd1-a15e-5faae7ef1b3a,mem00027,8d0de886,filho,2025-09-12 11:45:06.536302+00,2025-09-12 11:45:06.536302+00
1cb3f95b-985d-4641-9343-420a9b5e95a5,10028876,mem00038,mae,2025-09-01 14:34:33.277792+00,2025-09-01 14:34:33.277792+00
1ce0174a-97ef-4dd6-9126-c9dfad3258f0,6585d2e5,1846fa7b,mae,2025-09-01 14:48:23.375115+00,2025-09-01 14:48:23.375115+00
1f909212-11f8-4659-ad05-735fa19b2c54,MEM000534,3743de23,mae,2025-09-12 11:41:59.263893+00,2025-09-12 11:41:59.263893+00
24cc2314-7434-4ebe-b2c2-a8e8ca39f96c,MEM000532,MEM000531,filha,2025-09-12 11:38:58.610292+00,2025-09-12 11:38:58.610292+00
26eecee5-6594-49f7-90d6-63c08171d7f1,780cfaf4,d2020b13,pai,2025-09-01 14:42:46.114719+00,2025-09-01 14:42:46.114719+00
2ab563b3-4654-4325-800c-f5abf7016de6,MEM000533,MEM000531,filha,2025-09-12 11:38:22.890111+00,2025-09-12 11:38:22.890111+00
2b0828c2-84f9-4b1c-9134-8d0c9347fbfe,a7cfdde3,12e6a5cd,irmao,2025-09-01 13:00:55.273834+00,2025-09-01 13:00:55.273834+00
