"verse_id","token_index","start_offset","end_offset","surface","normalized","strong_code","confidence","source"
"1","0","0","2","No",,,,"ARC auto-tokenize"
"1","1","3","12","princípio",,,,"ARC auto-tokenize"
"1","2","14","19","criou",,,,"ARC auto-tokenize"
"1","3","20","24","Deus",,,,"ARC auto-tokenize"
"1","4","25","27","os",,,,"ARC auto-tokenize"
"1","5","28","32","céus",,,,"ARC auto-tokenize"
"1","6","33","34","e",,,,"ARC auto-tokenize"
"1","7","35","36","a",,,,"ARC auto-tokenize"
"1","8","37","42","terra",,,,"ARC auto-tokenize"
"2","0","0","1","E",,,,"ARC auto-tokenize"
"2","1","2","3","a",,,,"ARC auto-tokenize"
"2","2","4","9","terra",,,,"ARC auto-tokenize"
"2","3","10","13","era",,,,"ARC auto-tokenize"
"2","4","14","17","sem",,,,"ARC auto-tokenize"
"2","5","18","23","forma",,,,"ARC auto-tokenize"
"2","6","24","25","e",,,,"ARC auto-tokenize"
"2","7","26","31","vazia",,,,"ARC auto-tokenize"
"2","8","33","34","e",,,,"ARC auto-tokenize"
"2","9","35","40","havia",,,,"ARC auto-tokenize"
"2","10","41","47","trevas",,,,"ARC auto-tokenize"
"2","11","48","53","sobre",,,,"ARC auto-tokenize"
"2","12","54","55","a",,,,"ARC auto-tokenize"
"2","13","56","60","face",,,,"ARC auto-tokenize"
"2","14","61","63","do",,,,"ARC auto-tokenize"
"2","15","64","70","abismo",,,,"ARC auto-tokenize"
"2","16","72","73","e",,,,"ARC auto-tokenize"
"2","17","74","75","o",,,,"ARC auto-tokenize"
"2","18","76","84","Espírito",,,,"ARC auto-tokenize"
"2","19","85","87","de",,,,"ARC auto-tokenize"
"2","20","88","92","Deus",,,,"ARC auto-tokenize"
"2","21","93","95","se",,,,"ARC auto-tokenize"
"2","22","96","101","movia",,,,"ARC auto-tokenize"
"2","23","102","107","sobre",,,,"ARC auto-tokenize"
"2","24","108","109","a",,,,"ARC auto-tokenize"
"2","25","110","114","face",,,,"ARC auto-tokenize"
"2","26","115","118","das",,,,"ARC auto-tokenize"
"2","27","119","124","águas",,,,"ARC auto-tokenize"
"3","0","0","1","E",,,,"ARC auto-tokenize"
"3","1","2","7","disse",,,,"ARC auto-tokenize"
"3","2","8","12","Deus",,,,"ARC auto-tokenize"
"3","3","14","18","Haja",,,,"ARC auto-tokenize"
"3","4","19","22","luz",,,,"ARC auto-tokenize"
"3","5","24","25","E",,,,"ARC auto-tokenize"
"3","6","26","31","houve",,,,"ARC auto-tokenize"
"3","7","32","35","luz",,,,"ARC auto-tokenize"
"4","0","0","1","E",,,,"ARC auto-tokenize"
"4","1","2","5","viu",,,,"ARC auto-tokenize"
"4","2","6","10","Deus",,,,"ARC auto-tokenize"
"4","3","11","14","que",,,,"ARC auto-tokenize"
"4","4","15","18","era",,,,"ARC auto-tokenize"
"4","5","19","22","boa",,,,"ARC auto-tokenize"
