"strong_code","language","lemma","transliteration"
"G0001","greek","Ἀλφα","alpha"
"G0002","greek","Ἀαρών","aarōn"
"G0003","greek","Ἀβαδδών","abaddōn"
"G0004","greek","ἀβαρής","abarē"
"G0005","greek","ἀββά","abba"
"G0006","greek","Ἄβελ","habel"
"G0007","greek","Ἀβιά","abia"
"G0008","greek","Ἀβιαθάρ","abiathar"
"G0009","greek","Ἀβιληνή","abilēnēs"
"G0010","greek","Ἀβιούδ","abioud"
"G0011","greek","Ἀβραάμ","abraam"
"G0012","greek","ἄβυσσος","abysson"
"G0013","greek","Ἄγαβος","hagabos"
"G0014","greek","ἀγαθοεργέω","agathourgōn"
"G0015","greek","ἀγαθοποιέω","agathopoiēsai"
"G0016","greek","ἀγαθοποιΐα","agathopoiia"
"G0017","greek","ἀγαθοποιός","agathopoiōn"
"G0018","greek","ἀγαθός","agathous"
"G0019","greek","ἀγαθωσύνη","agathōsynēs"
"G0020","greek","ἀγαλλίασις","agalliasis"
"G0021","greek","ἀγαλλιάω","agalliasthe"
"G0022","greek","ἄγαμος","agamois"
"G0023","greek","ἀγανακτέω","ēganaktēsan"
"G0024","greek","ἀγανάκτησις","aganaktēsin"
"G0025","greek","ἀγαπάω","agapēseis"
"G0026","greek","ἀγάπη","agapē"
"G0027","greek","ἀγαπητός","agapētos"
"G0028","greek","Ἄγαρ","hagar"
"G0029","greek","ἀγγαρεύω","angareusei"
"G0030","greek","ἀγγεῖον","angeiois"
"G0031","greek","ἀγγελία","angelia"
"G0032","greek","ἄγγελος","angelos"
"G0034","greek","ἀγέλη","agelē"
"G0035","greek","ἀγενεαλόγητος","agenealogētos"
"G0036","greek","ἀγενής","agenē"
"G0037","greek","ἁγιάζω","hagiasthētō"
"G0038","greek","ἁγιασμός","hagiasmon"
"G0040","greek","ἅγιος","hagiou"
"G0041","greek","ἁγιότης","hagiotētos"
"G0042","greek","ἁγιωσύνη","hagiōsynēs"
"G0043","greek","ἀγκάλη","ankalas"
"G0044","greek","ἄγκιστρον","ankistron"
"G0045","greek","ἄγκυρα","ankyras"
"G0046","greek","ἄγναφος","agnaphou"
"G0047","greek","ἁγνεία","hagneia"
"G0048","greek","ἁγνίζω","hagnisōsin"
"G0049","greek","ἁγνισμός","hagnismou"
"G0050","greek","ἀγνοέω","ēgnooun"
"G0051","greek","ἀγνόημα","agnoēmatōn"
"G0052","greek","ἄγνοια","agnoian"
"G0053","greek","ἁγνός","hagnous"
"G0054","greek","ἁγνότης","hagnotēti"
"G0055","greek","ἁγνῶς","hagnōs"
"G0056","greek","ἀγνωσία","agnōsian"
"G0057","greek","ἄγνωστος","agnōstō"
"G0058","greek","ἀγορά","agorais"
"G0059","greek","ἀγοράζω","agorazei"
"G0060","greek","ἀγοραῖος","agoraiōn"
"G0061","greek","ἄγρα","agran"
"G0062","greek","ἀγράμματος","agrammatoi"
"G0063","greek","ἀγραυλέω","agraulountes"
"G0064","greek","ἀγρεύω","agreusōsin"
"G0065","greek","ἀγριέλαιος","agrielaios"
"G0066","greek","ἄγριος","agrion"
"G0067","greek","Ἀγρίππας","agrippas"
"G0068","greek","ἀγρός","agrou"
"G0069","greek","ἀγρυπνέω","agrypneite"
"G0070","greek","ἀγρυπνία","agrypniais"
"G0071","greek","ἄγω","achthēsesthe"
"G0072","greek","ἀγωγή","agōgē"
"G0073","greek","ἀγών","agōna"
"G0074","greek","ἀγωνία","agōnia"
"G0075","greek","ἀγωνίζομαι","agōnizesthe"
"G0076","greek","Ἀδάμ","adam"
"G0077","greek","ἀδάπανος","adapanon"
"G0078","greek","Ἀδδί","addi"
"G0079","greek","ἀδελφή","adelphē"
"G0080","greek","ἀδελφός","adelphous"
"G0081","greek","ἀδελφότης","adelphotēta"
"G0082","greek","ἄδηλος","adēla"
"G0083","greek","ἀδηλότης","adēlotēti"
"G0084","greek","ἀδήλως","adēlōs"
"G0085","greek","ἀδημονέω","adēmonein"
"G0086","greek","ᾍδης","hadou"
"G0087","greek","ἀδιάκριτος","adiakritos"
"G0088","greek","ἀδιάλειπτος","adialeiptos"
"G0089","greek","ἀδιαλείπτως","adialeiptōs"
"G0091","greek","ἀδικέω","adikō"
"G0092","greek","ἀδίκημα","adikēma"
"G0093","greek","ἀδικία","adikias"
"G0094","greek","ἄδικος","adikous"
"G0095","greek","ἀδίκως","adikōs"
"G0096","greek","ἀδόκιμος","adokimon"
"G0097","greek","ἄδολος","adolon"
"G0098","greek","Ἀδραμυττηνός","adramyttēnō"
"G0099","greek","Ἀδρίας","adria"
"G0100","greek","ἁδρότης","hadrotēti"
"G0101","greek","ἀδυνατέω","adynatēsei"
"G0102","greek","ἀδύνατος","adynaton"
"G0103","greek","ᾄδω","adontes"
"G0104","greek","ἀεί","aei"
"G0105","greek","ἀετός","aetoi"
"G0106","greek","ἄζυμος","azymōn"
"G0107","greek","Ἀζώρ","azōr"
"G0108","greek","Ἄζωτος","azōton"
"G0109","greek","ἀήρ","aera"
"G0110","greek","ἀθανασία","athanasian"
"G0111","greek","ἀθέμιτος","athemiton"
"G0112","greek","ἄθεος","atheoi"
"G0113","greek","ἄθεσμος","athesmōn"
"G0114","greek","ἀθετέω","athetēsai"
"G0115","greek","ἀθέτησις","athetēsis"
"G0116","greek","Ἀθῆναι","athēnōn"
"G0117","greek","Ἀθηναῖος","athēnaioi"
"G0118","greek","ἀθλέω","athlē"
"G0119","greek","ἄθλησις","athlēsin"
"G0120","greek","ἀθυμέω","athymōsin"
"G0121","greek","ἀθῷος","athōon"
"G0122","greek","αἴγειος","aigeiois"
"G0123","greek","αἰγιαλός","aigialon"
"G0124","greek","Αἰγύπτιος","aigyptiōn"
"G0125","greek","Αἴγυπτος","aigypton"
"G0126","greek","ἀΐδιος","aidios"
"G0127","greek","αἰδώς","aidous"
"G0128","greek","Αἰθίοψ","aithiops"
"G0129","greek","αἷμα","haima"
