"strong_code","source_tag"
"G0001","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0002","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0003","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0004","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0005","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0006","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0007","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0008","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0009","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0010","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0011","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0012","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0013","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0014","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0015","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0016","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0017","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0018","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0019","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0020","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0021","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0022","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0023","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0024","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0025","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0026","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0027","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0028","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0029","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0030","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0031","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0032","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0034","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0035","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0036","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0037","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0038","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0040","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0041","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0042","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0043","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0044","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0045","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0046","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0047","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0048","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0049","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0050","opengnt:OpenGNT_BASE_TEXT.zip@master"
"G0051","opengnt:OpenGNT_BASE_TEXT.zip@master"
