"strong_code","language","lemma","transliteration"
"H0001","hebrew","אָב","av"
"H0002","hebrew","אַב","av"
"H0003","hebrew","אֵב","ev"
"H0004","hebrew","אֵב","ev"
"H0005","hebrew","אֲבַגְתָא","a.vag.ta"
"H0006","hebrew","אָבַד","a.vad"
"H0007","hebrew","אֲבַד","a.vad"
"H0008","hebrew","אֹבֵד","o.ved"
"H0009","hebrew","אֲבֵדָה","a.ve.dah"
"H0010","hebrew","אֲבַדּוֹן","a.vad.don"
"H0011","hebrew","אֲבַדּוֹן","a.vad.don"
"H0012","hebrew","אַבְדָ֑ן","av.dan"
"H0013","hebrew","אׇבְדַן","ov.dan"
"H0014","hebrew","אָבָה","a.vah"
"H0015","hebrew","אָבִי","a.veh"
"H0016","hebrew","אֵ֫בֶה","e.veh"
"H0017","hebrew","אֲבוֹי","a.voy"
"H0018","hebrew","אֵבוּס","e.vus"
"H0019","hebrew","אִבְחָה","iv.chah"
"H0020","hebrew","אֲבַטִּחִים","a.vat.ti.ach"
"H0021","hebrew","אֲבִי","a.vi"
"H0022","hebrew","אֲבִיאֵל","a.vi.el"
"H0023","hebrew","אֲבִיאָסָף","a.vi.a.saph"
"H0024","hebrew","אָבִיב","a.viv"
"H0025","hebrew","אֲבִי גִבְעוֹן","a.vi giv.on"
"H0026","hebrew","אֲבִיגַ֫יִל, אֲבִיגַ֫ל","a.vi.ga.yil"
"H0027","hebrew","אֲבִידָן","a.vi.dan"
"H0028","hebrew","אֲבִידָע","a.vi.da"
"H0029","hebrew","אֲבִיָּה","a.viy.yah"
"H0030","hebrew","אֲבִיהוּא","a.vi.hu"
"H0031","hebrew","אֲבִיהוּד","a.vi.hud"
"H0032","hebrew","אֲבִיחַ֫יִל","a.vi.ha.yil"
"H0033","hebrew","אֲבִי הָעֶזְרִי","a.vi ha.ez.ri"
"H0034","hebrew","אֶבְיוֹן","ev.yon"
"H0035","hebrew","אֲבִיּוֹנָה","a.viy.yo.nah"
"H0036","hebrew","אֲבִיטוּב","a.vi.tuv"
"H0037","hebrew","אֲבִיטָ֑ל","a.vi.tal"
"H0038","hebrew","אֲבִיָּם","a.viy.yam"
"H0039","hebrew","אֲבִימָאֵל","a.vi.ma.el"
"H0040","hebrew","אֲבִימֶ֫לֶךְ","a.vi.me.lekh"
"H0041","hebrew","אֲבִינָדָב","a.vi.na.dav"
"H0042","hebrew","אֲבִינֹ֫עַם","a.vi.no.am"
"H0043","hebrew","אֶבְיָסָף, אֲבִיאָסָף","ev.ya.saph"
"H0044","hebrew","אֲבִיעֶ֫זֶר","a.vi.e.zer"
"H0045","hebrew","אֲבִי־עַלְבוֹן","a.vi-al.von"
"H0046","hebrew","אָבִיר","a.vir"
"H0047","hebrew","אַבִּיר","ab.bir"
"H0048","hebrew","אֲבִירָם","a.vi.ram"
"H0049","hebrew","אֲבִישַׁג","a.vi.shag"
"H0050","hebrew","אֲבִישׁוּעַ","a.vi.shu.a"
"H0051","hebrew","אֲבִישׁוּר","a.vi.shur"
"H0052","hebrew","אֲבִישַׁי","a.vi.shay"
"H0053","hebrew","אֲבִישָׁלוֹם","a.vi.sha.lom"
"H0054","hebrew","אֶבְיָתָר","ev.ya.tar"
"H0055","hebrew","אָבַךְ","a.vakh"
"H0056","hebrew","אָבַל","a.val"
"H0057","hebrew","אָבֵל","a.vel"
"H0058","hebrew","אָבֵל","a.vel"
"H0059","hebrew","אָבֵל","a.vel"
"H0060","hebrew","אֵ֫בֶל","e.vel"
"H0061","hebrew","אֲבָל","a.val"
"H0062","hebrew","אָבֵל בֵּית־מֲעַכָה","a.vel bet-ma.a.khah"
"H0063","hebrew","אָבֵל הַשִּׁטִּים","a.vel hash.shit.tim"
"H0064","hebrew","אָבֵל כְּרָמִים","a.vel ke.ra.mim"
"H0065","hebrew","אָבֵל מְחוֹלָה","a.vel me.cho.lah"
"H0066","hebrew","אַבֵל מַיִם","a.vel ma.yim"
"H0067","hebrew","אָבֵל מִצְרַיִם","a.vel mits.ra.yim"
"H0068","hebrew","אֶ֫בֶן","e.ven"
"H0069","hebrew","אֶ֫בֶן","e.ven"
"H0070","hebrew","אֹבֶן","o.ven"
"H0071","hebrew","אֲבָנָה","a.va.nah"
"H0072","hebrew","אֶבֶן הָעֵזֶר","e.ven ha.e.zer"
"H0073","hebrew","אַבְנֵט","av.net"
"H0074","hebrew","אֲבִינֵר","av.ner"
"H0075","hebrew","אָבַס","a.vas"
"H0076","hebrew","אֲבַעְבֻּעֹת","a.va.bu.ah"
"H0077","hebrew","אֶ֫בֶץ","e.vets"
"H0078","hebrew","אִבְצָן","iv.tsan"
"H0079","hebrew","אָבַק","a.vaq"
"H0080","hebrew","אָבָק","a.vaq"
"H0081","hebrew","אֲבָקָה","a.va.qah"
"H0082","hebrew","אָבַר","a.var"
"H0083","hebrew","אֵ֫בֶר","e.ver"
"H0084","hebrew","אֶבְרָה","ev.rah"
"H0085","hebrew","אַבְרָהָם","av.ra.ham"
"H0086","hebrew","אַבְרֵךְ","av.rekh"
"H0087","hebrew","אַבְרָם","av.ram"
"H0088","hebrew","אֹבֹת","o.vot"
"H0089","hebrew","אָגֵא","a.ge"
"H0090","hebrew","אֲגָג","a.gag"
"H0091","hebrew","אֲגָגִי","a.ga.gi"
"H0092","hebrew","אֲגֻדָּה","a.gud.dah"
"H0093","hebrew","אֱגוֹז","e.goz"
"H0094","hebrew","אָגוּר","a.gur"
"H0095","hebrew","אֲגוֹרָה","a.go.rah"
"H0096","hebrew","אֵ֫גֶל","e.gel"
"H0097","hebrew","אֶגְלַ֫יִם","eg.la.yim"
"H0098","hebrew","אֲגַם","a.gam"
"H0099","hebrew","אָגֵם","a.gem"
"H0100","hebrew","אַגְמֹן","ag.mon"
"H0101","hebrew","אַגָּן","ag.gan"
"H0102","hebrew","אֲגַף","ag.gaph"
"H0103","hebrew","אָגַר","a.gar"
"H0104","hebrew","אִגְּרָא","ig.g.ra"
"H0105","hebrew","אֲגַרְטָל","a.gar.tal"
